Question,Average Cosine Similarity,Correct (>=0.85),GroundTruths,RetrievedResults,TopURLs,Source
What is users’ credit score?,0,False,"['In the financial sector, a credit score is a value that represents the creditworthiness of an individual; the higher the score, the better a borrower looks to potential lenders. Credit score evaluation is a distinctive technique that differentiates TRAVA.FINANCE and other decentralized lending approaches. TRAVA.FINANCE aggregates and analyzes all transactions of blockchain objects (e.g., user, wallet address, digital asset) on multiple networks. TRAVA.FINANCE then establishes links among them and evaluates their credit score in the most objective and transparent manner. ', 'TRAVA.FINANCE uses credit scores to ensure the safety of the lending process. Pool owners and lenders can rate borrowers’ credit and eliminate fraudulent accounts to increase capital efficiency and reduce the risk of bad debt. Based on the credit scores, they can determine the maximum Loan-To-Value ratio for borrowers. Borrowers with high credit scores get preferential treatment; they can borrow cryptos with more favorable interest rates and Loan-To-Value ratios. ']",[],[],"['https://docs.trava.finance/faq/trava-credit-score', 'https://docs.trava.finance/whitepaper/credit-score-evaluation']"
How Credit scores for wallet addresses are calculated?,0,False,"['To evaluate credit scores for wallet addresses, TRAVA credit scoring model will take into account 5 factors: Total asset: represents the financial strength of the address. Transaction history: TRAVA aggregates all transactions of a wallet address across all platforms to calculate various parameters such as (i) transaction amount, (ii) number of liquidations, etc. Loans ratio: represents the debt position of an account, including the Loan-to-balance ratio and Loan-to-investment ratio. Circulating asset: represents how active users are in the crypto market, contains (i) investment-to-total-asset ratio and (ii) ROE. The last parameter is the trustworthiness of possessing assets. At present, TRAVA evaluates two types of digital assets: (i) token and NFT. Each above parameter is normalized to the range of [0, 1000], using a standardized score function that converts z-scores to the range. The z-score is calculated from the mean and the standard deviation from every corresponding parameter of all accounts. To be more specific, you can read this function in TRAVA whitepaper.   ', 'The credit score evaluation in TRAVA.FINANCE is primarily based on on-chain data. At present, we collect, enrich, and analyze Binance Smart Chain transactions, including the native transferring transactions and the transactions to deposit, withdraw, repay, and borrow tokens generated from Binance Smart Chain lending DApps. The credit rating of digital assets helps pool owners and liquid providers to minimize liquidity risk. TRAVA.FINANCE divides digital assets into two categories: Tokens/coins and other digital assets (e.g., NFT, smart contracts, stoke tokens) and evaluates their credit scores. The credit score of a Token is assessed based on 4 parameters, i.e., (i) the token price, (ii) the market cap (MC) of the token, (iii) the token trading volume, and (iv) the number of transactions related to the token. High-credit-score tokens have a great advantage over low-credit-score tokens. Once being used as collaterals, they offer high loan-to-value ratios to borrowers; lenders also get favorable lending interest rates with their high-credit-score tokens. Users can improve their credit scores once they possess those high-valuable digital assets.']",[],[],"['https://docs.trava.finance/faq/trava-credit-score', 'https://docs.trava.finance/whitepaper/credit-score-evaluation']"
How the user's credit score will be updated?,0,False,"['Our system has both periodic updates and instant updates. The instant update occurs when users actively make transactions such as deposit, withdraw, repay... Or when users view their credit score on our app. In case a user has not viewed their credit score and had no transactions for a long time, their credit score is still updated periodically and automatically, which can be weekly or monthly. We are still trying to optimize it. ', 'To evaluate credit scores for a wallet address, TRAVA.FINANCE credit scoring model will take into account the following factors: Total asset. The total asset represents the financial strength of the wallet address; it is the most intuitive and easiest-to-evaluate parameter. It is also the second most important parameter that affects credit scores. The total asset is the sum of balance and total investment minus total liabilities. The credit score of the address is proportional to its total asset. As this parameter is a volatility index, the credit score is calculated based on both the average total asset in a certain period and the total current asset. Transaction history. Transaction history is the most important parameter; it has a major impact on credit scores. TRAVA.FINANCE collects and aggregates all exchanges, loans, deposits, and other transactions of the wallet address across multiple DApps to calculate various intermediate parameters such as (i) the age of the address, (ii) its transaction amount, (iii) its frequency of transaction, (iv) its number of liquidations and (v) its total value of liquidations. Loan ratios. Loan ratios (debt ratios) represent the debt position of the account. It is divided into two sub-parameters, i.e., loan-to-balance ratio and loan-to-investment ratio. Circulating assets. This parameter represents how active users are in the crypto market. The more money they invest in the crypto market, the more creditworthiness they gain from others. This parameter is evaluated based on 2 sub-parameters, (i) investment-to-total-asset ratio and (ii) ROE (Return on equity). Trustworthiness of possessing assets. The last parameter for credit rating is the trustworthiness of the assets owned by the wallet address. The wallet can improve its credit score by possessing high-value and trustworthy digital assets. At present, TRAVA.FINANCE evaluates two types of digital assets only (i.e, Token and NFT).']",[],[],"['https://docs.trava.finance/faq/trava-credit-score', 'https://docs.trava.finance/whitepaper/credit-score-evaluation']"
How to increase my credit score?,0,False,"['To improve the credit score of your wallet, you would need to take into account our five parameters, i.e., Total asset, Transaction history, Loans ratios, Circulating assets, and Trustworthiness of possessing assets. For instance, you should increase your wallet balance with prestige coins and tokens, perform more transactions and become more active in the crypto market, maintaining good Loan-to-balance and Loan-to-investment ratios, supply more liquidity to lending pools, trade on lending DApps to earn as much profit as you can, avoid collateral liquidation while borrowing, and possess at least $1000 valuable token (e.g., Bitcoin, Ether, or BNB). Besides, you need to be credible users for a long time. It is because to avoid fraud, TRAVA calculates some credit score parameters based on their average values in the last k days, where k depends on the volatility of the crypto market. Moreover, some parameters are assessed based on the “standardized score” function, which calculates the mean and the standard deviation of all accounts’ parameters. Thus, trying to be the best at some criteria would improve your credit score too.']",[],[],['https://docs.trava.finance/faq/trava-credit-score']
Why did my credit score decrease?,0,False,"['The reasons why your credit score drops might be: You have bad transactions such as borrowing liquidations, your balance decrease, your borrowing rate is higher, you are not active enough, etc...You can read our white paper to understand how the credit score mechanism functions. https://docs.trava.finance/whitepaper/credit-score-evaluation']",[],[],['https://docs.trava.finance/faq/trava-credit-score']
How to attend Trava NFT Auction?,0,False,"['Rules Auction is ONLY cancellable when it has NO BIDS. After the first bid comes in, neither you nor we can cancel it, as rules are written in the smart contract. When the bidding countdown is less than 5 minutes left, every new bid will extend the countdown by 5 minutes; Each bid price will be increased by at least 5% of the previous one. Once the countdown ends, the auction item will be obtained by the last/highest bidder; The most important rule: 2.5% of the price increase for each bid is distributed to the previous bidder, and the remaining 97.5% would be the income of the auction publisher if it’s the last bid or returned to the bidder when it’s outbid. With the rules, each bidder would either take the 5% share of the next bid or obtain the auction Knight with the price he/she offered. And the first bidder will additionally be free from distributing his/her own 5% to other people. Note: The percentage that the later bidder pays for the earlier bidder is the same as the percentage that the sellers need to pay for the platform. So, 2.5% is also the amount auction publishers pay to the marketplace, which means that after receiving 97.5% of the final bidding price as income, sellers need to pay 2.5% of the income to the NFT marketplace. Therefore, the final payment rate that the sellers receive is 95.06% of the final bid. This fee is utilized for marketing, operating, and functioning. Seller (Auction Publishers) First Bidders Other Bidders Last Bidder Receive: ~95.06% of the final bidding price Receive: 100% of his/her bidding capital 2,5% of the later bidding price Receive: 2.5% of the later bidding price 97.5% of his/her bidding capital Pay: the final bidding price For example, First, Alice offered a 1000 TRAVA bid in a new auction. Secondly, Billy offered 1100 TRAVA ⇒ Alice would receive her own 1000 TRAVA and 2.5% of 1100 TRAVA, which would be 1027.5 TRAVA in total, and the extra 27.5 TRAVA is totally free money. Finally, Michael offered 1200 TRAVA. ⇒ Then, Billy would get 97.5% of his 1100 TRAVA and 2.5% of 1200 TRAVA, that is 1102.5 TRAVA, still getting 30 TRAVA for free. ⇒ The auction publisher will receive ~ 95.06% of the final bidding price (1200 TRAVA). Therefore, the seller will receive ~ 1140.72 TRAVA and pay 29.25 TRAVA to the platform. Steps to start an auction on Trava marketplace Step 1: Go to: https://nft-app.trava.finance/ Choose the Knight you want to sell in your NFT profile;  Step 2: Set a start price and end time Note that the time range for an auction is from 1 - 7 days.  Step 3: Confirm in your wallet, then the auction will start immediately. Once the auction is ended with bids, the seller or winning bidder needs to visit the Trava Knight auction tab and click the “Claim” button to finish the exchange transaction ']",[],[],['https://docs.trava.finance/nfts/trava-nft-auction']
What are benefit for those who participate in the Trava Knight auction?,0,False,"['Benefit for those who participate in the Trava Knight auction Benefit for auction publishers (the sellers) Auction publishers (or sellers) are those who open auctions for their Knights. Opening an auction allows auction publishers to set up their price floor for their Knights, which determines their minimum desired price, helping them avoid selling their Knights at an unwanted low price compared to the market price. The auction opens a great opportunity for Knight owners to make profits without the need of disassembling their Knights to pieces and selling each item multiple times, which can cause wasted gas fees due to multiple transactions. Benefit for bidders Trava Knight auction is of benefit for bidders since it offers them the opportunity to get the full Knight, not every piece of armoury NFT on Trava NFT Marketplace. This helps bidders save more time in obtaining a Knight without finding and collecting armoury items to assemble. The auction also offers bidders an excellent method to get their favorable Knights, which suits their needs for missions such as Farming, Expedition, Farming with EXP and PvP tournaments in the future. Benefit for Trava Lending Pool The NFT Auction is the first step toward Trava Finance’s long-term aim of allowing NFTs to be used as collateral in the Trava Lending pool. By using an auction mechanism, the NFT will be priced and subsequently used as collateral in the Trava loan pool. This is a good method to vary the collaterals and give users more opportunities to lend assets.  ', 'Benefits of Knight NFTs Each of Knight and Armory NFTs represents a unique digital collectible that can be bought, sold, rented and put on auction on Trava Knight NFT Marketplace. It helps increase the utility of not only NFTs for NFT-collateralization, but also $TRAVA in our system as all the trading on the Marketplace is in $TRAVA. Users can assemble Knight NFTs to join Trava Farming Programs (NFT Farming, Heuristic Farming) in different vaults for a great APY — the rarer the NFT, the higher APY. The longer staked in the vaults, Loyal Knight NFT holders will also have more benefits in our lending pool in the future. In addition, you can get rewards from Trava Knight NFTs by playing the Battle Hand Mini-Game, and joining in Missions such as Expedition or Treasure Map.  ', 'TRAVA.FINANCE provides benefits for all participants as described below. NFT owners can determine their NFT value based on the bid prices given by the auction participants. The value can be much greater than their initial expectation. They can either directly sell their NFT or use their NFT as collateral and earn profit without losing it. TRAVA.FINANCE thus increases the liquidity of NFTs and opens up a unique and exciting NFTFi marketplace. Based on the given number of auction bids, bidders have a corresponding chance to win the reward at the end of the auction session. This rewarding mechanism provides incentives for users to actively make a bid in the auction. Auction winners can get their desired NFT at a price lower than their bidding price (once NFT owners cannot repay the loan) or they can receive considerable interest from their loan to NFT owners (once NFT owners repay the loans and get their NFT back). The credit scores of NFT owners, auction winners, bidders, and NFTs can be improved after auctions. The auction mechanism for NFT can also be applied to any type of digital asset. In our road map, TRAVA.FINANCE will implement this auction feature for various types of digital assets (e.g., stock token, smart contract). ']",[],[],"['https://blog.trava.finance/trava-knight-nft-introduction-to-auction-mechanism-version-1-eb72e6f97be4', 'https://blog.trava.finance/trava-to-launch-knight-nft-version-2-366b35a8dc21', 'https://docs.trava.finance/whitepaper/collateralized-nfts']"
All About Trava Armoury Chest?,0,False,"['Trava Armoury Chest gives users the chance to receive an NFT, which is called Trava Armoury NFT. Those NFTs are four parts which constitute a Knight’s Armor set: Helmet, Armor, Shield and Weapon. Trava Armoury NFTs will be available in 5 rarities: Copper, Silver, Gold, Diamond and Crystal. In this early stage, 200 chests will be given away to our first Knights in our “Be a Trava Holy Knight — Join the Order” Campaign, 600 chests will be sold in our Flash Sales Program. After our first Giveaway and Flash Sales Program, more chests will be issued and sold on our official site. In those available chests, the drop rates of NFTs are: ◾️ Crystal ← Probability 0.5% ◾️ Diamond ← Probability 4.5% ◾️ Gold ← Probability 10% ◾️ Silver ← Probability 25% ◾️ Copper ← Probability 60% There will be three options to buy Trava Armoury Chest, users can buy one chest, a set of five chests, or a set of ten chests. Each Chest will be sold at 2000 $TRAVA in this early stage. The combo of 5 chests will be sold at a 2% discount, which means the price for 5 chests is 9800 $TRAVA. The combo of 10 will be discounted 5%, making the total price for 10 chests 19,000 $TRAVA. Note that each wallet can only own a maximum of 50 Trava Armoury NFTs (50 items, including unopened Armoury Chests) at any given time. The number of Trava Knight NFTs that a wallet can hold is unlimited. Assembling a complete set of 4 Trava Armoury NFTs will result in a Trava Knight NFT. 👉Read more about Trava Armoury NFT and Trava Knight NFT in our Document. 📌After the first Campaign of giving free Armoury Chests, we will start Flash Sales and sell Trava Armoury Chests at much cheaper prices.  ']",[],[],['https://blog.trava.finance/all-about-trava-armoury-chest-aaac8f130883']
What is the purpose and feature of Trava NFT Marketplace?,0,False,"['We implemented a NFT marketplace to give users a platform to exchange Knights, Items, etc. Preliminary process: Sellers: list their Trava Armoury NFTs and Knight NFTs on our Marketplace. Buyers: buy item(s) at a price listed by the seller.  Buy Order We implemented a new feature that allows users to order Knights, Items they need on our NFT Marketplace with simple steps: Going to NFT Marketplace (Buy Order section) Creating a purchase order with specific features: Rarity, Type, Exp point, Price,v.v) Notes that: The prices must be set at a fixed price EXP is at the lowest point that the buyers accept to buy   Put in the Price and EXP   ', 'Trava NFT Marketplace Trava NFT Marketplace allows NFT owners to list and sell their NFTs. At the first stage, we will start to run the “TRAVA ARMOURY CHESTS ‘’ product, which allows users to buy and uncover mystery chests. Based on the Epic of Trava Knights, the item in those chests will be randomly 1 out of 4 parts of a knight’s armor, including: Helmet, Armor, Shield, and Weapon. These parts will be classified into 5 rarities from lowest to highest: Copper, Silver, Gold, Diamond, and Crystal. One chest will contain one item of random rarity. Users can assemble a special Collection NFT to farm in our NFT vault after collecting 4 full parts of Helmet, Armor, Shield, and Weapon. Our NFTs Farming Program will be launched several hours after the “TRAVA ARMOURY CHESTS” sales program initialization. By collecting NFT collections, users will be able to earn great yields from our NFTs farming program.  ']",[],[],"['https://docs.trava.finance/nfts/trava-nft-marketplace', 'https://blog.trava.finance/trava-to-launch-knight-nft-for-enabling-nft-collateralization-3b3931b6b46b']"
What does Transmutation do and how can i execute it?,0,False,"['Transmutation allows Knights owners to easily transmute 2 Trava Armoury NFTs, which are the same rarity and type, to get another type of item in the same rarity. Notes: After the Transmutation, the EXP of the new item will be calculated as the average of the two Trava armoury items transmuted. A certain amount of time is required to do transmutation. Those transmuting their items need to pay a small fee in  $TRAVA, which depends on the rarity of each item. Unlike the trade-up mechanism, in Transmutation, there is no failure rate which means users can always transmute their items successfully. Check the detailed information about transmutation time and fee in the following table:    Rarity Copper Silver Gold Diamond Crystal Forgery time 2 hours 4 hours 8 hours 16 hours 32 hours Fee 200 500 1250 3500 25000 Where, Forgery time: The period it takes to transmute the armoury item. Fee: An transmutation fee of Trava Knights need to pay  Step-by-step guide Step 1: Go to: https://nft-app.trava.finance/inventory/transmutation  Step 2: Choose 2 armoury items of the same type and rarity. The transmutation fee and EXP will be shown  Step 3: Click “Transmute” Choose the armoury item you would like to transmute to Click “Confirm” to approve the transaction  Step 4: Wait for a certain amount of time to complete transmutation Click “Claim” to add the newly transmuted item to your wallet  ']",[],[],['https://docs.trava.finance/nfts/transmutation']
What is EXP points and how to earn them?,0,False,"['EXP points At the moment, EXP (Experience Point) is the point that shows how long an Armoury NFT is staked in our vaults. EXP is the parameter indicating the loyalty of NFT owners in our Farming Program. In the near future, EXP will be calculated in various ways apart from the length that NFT is farmed in our vault. Currently, EXP of each Armoury NFT will increase when their owner assembles them to a Knight NFT and deposits Knight NFT in one of five vaults to farm. For every second of the Knight NFT in the vaults, EXP is added by 1. Therefore, after 1 hour EXP will increase by 3600 points. And the EXP will remain the same if it is withdrawn out of the vault We’ve already calculated EXPs for your NFTs at the time of opening the Farming Program. EXP in a collection (Trava Knight NFT) will be averaged based on the EXP of 4 Armoury NFTs (items). You can see your EXP  either in the Inventory tab, Collection section or on Trava NFT Marketplace.    Normally, when you open chests to gain Armoury NFTs and assemble them into a Knight NFT. You farm your Knight NFT in our vault, all those Armoury NFTs are given the same EXPs. However, when you withdraw your Knight NFT, disassemble and reassemble with different items to get another Knight NFT, your Armoury NFTs will have different EXPs.  ']",[],[],['https://docs.trava.finance/nfts/exp-points']
What is Dilution Staking and its requirements ?,0,False,"['Dilution Staking This is a form of Knight NFT and TRAVA staking, aiming to reduce the impact of inflation on long-term holders in the ecosystem. Requirements To be able to participate in Dilution Staking, you must have the following: TRAVA tokens to stake Trava Knights: - Knight NFTs V2 - Limited Knight Note!! Knights V1 will not be accepted, so please Trade-up them or buy Armoury Chests V2 and assemble your Knights.  ']",[],[],['https://docs.trava.finance/nfts/dilution-staking']
Where can i find technical support?,0,False,"['If you need development support,  join the Technical Support Channel on Telegram. ']",[],[],['https://docs.trava.finance/portal/developers']
What are the features of Trava Finance?,0,False,"['There are six salient features of TRAVA.FINANCE, including: Crypto lending marketplace: TRAVA.FINANCE creates a marketplace in which anyone confident in their abundant capital and profound knowledge of finance is free to create and manage their own lending pools. This multiple-pool model allows pool owners and their pool members to flexibly adapt their investment strategies to the volatility of the crypto market and obtain greater earnings. Semantic knowledge graph: TRAVA.FINANCE is built upon the semantic cross-chain knowledge graph. The graph is a distributed ledger that holds the data collected from multiple blockchain networks in the form of entities and their interconnections. The graph allows TRAVA.FINANCE to efficiently search for useful information such as (i) the amount and value of assets exchanged between two wallet addresses; (ii) the provenance of an NFT; (iii) aggregated assets of the same user on multiple networks, etc. Data analysis: To reduce lending risks, TRAVA.FINANCE performs statistical data analysis based on the cross-chain knowledge graph and other data sources. TRAVA.FINANCE recommends the optimal parameters for pool owners to create and maintain their own pools (e.g., borrowing-lending interest rate, Loan to Value ratio, liquidation threshold, a minimum credit score of borrowers). TRAVA.FINANCE also assists them in detecting and alerting unusual transactions in their pools. Credit score evaluation: Though being an effective tool in lending, credit score has never been used in existing decentralized lending platforms. As a pioneer, TRAVA.FINANCE uses the cross-chain knowledge graph to evaluate credit scores for users and their digital assets. The pool owners thus can (i) reduce the lending risks by defining a credit-score threshold for borrowers participating in the lending pool; and (ii) stimulate borrowing by defining a high Loan to Value ratio for borrowers with high credit scores. Cross-chain identification and cross-chain lending: TRAVA.FINANCE uses the cross-chain identification protocol to identify all wallet addresses of the same users on different networks. After that, users can use up all of their cryptos as collateral for a huge loan in a single transaction. This facilitates their borrowing operations and saves them transaction fees. Cross- chain identification also helps them to increase their credit scores. NFT, stock tokens, and other digital assets as collaterals: To increase the liquidity of such special assets as NFT, stock tokens, or smart contracts, TRAVA.FINANCE allows users to use all of these asset types as collaterals. Before that, the special digital assets must be priced through auctions. The auction winners are involved in the lending contract. They can either possess the digital asset at a low price or earn considerable amounts from the contract. ']",[],[],['https://docs.trava.finance/whitepaper']
What is Trava's architecture?,0,False,['TRAVA.FINANCE is divided into two main layers: TRAVA.FINANCE marketplace and TRAVA.FINANCE Foundation. The former uses the protocols and the cross-chain knowledge graph provided by the latter so that end-users can interact with TRAVA.FINANCE marketplace and perform their lending functionalities. '],[],[],['https://docs.trava.finance/whitepaper/architecture']
